,Anchors,Precisions,Classes,Predicted Sales,Dates,ESales
15,"['Promo2SinceWeek <= 5.00', 'Assortment = Basic', '0.00 < CompetitionOpenSinceYear <= 2010.00', 'DayOfWeek = Wednesday', 'Month = Jul', '870.00 < CompetitionDistance <= 1700.00', 'Promo2SinceYear <= 0.00', '0.00 < CompetitionOpenSinceMonth <= 9.00', 'PromoOpen > 24178.00', 'Promo = Yes']",0.3593429158110883,3.0,5213.0566,2015-07-14,5042
16,"['870.00 < CompetitionDistance <= 1700.00', 'Promo = Yes', 'Assortment = Basic', '6.00 < CompetitionOpenSinceMonth <= 10.00', 'Month = Jul', 'Promo2SinceYear <= 2013.00', 'PromoOpen > 10.50', 'CompetitionOpenSinceYear <= 2013.00']",0.4367816091954023,4.0,5906.1963,2015-07-13,5054
17,"['Promo = No', 'Assortment = Basic', 'DayOfWeek = Sunday', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Month = Jul', '870.00 < CompetitionDistance <= 1700.00', 'Promo2SinceYear <= 2013.00']",0.7935135135135135,2.0,4137.666,2015-07-11,3530
18,"['Assortment = Basic', 'Promo = No', '870.00 < CompetitionDistance <= 1700.00', '0.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceYear <= 2011.00', 'Month = Jul', 'CompetitionOpenSinceMonth <= 9.00']",0.6302083333333334,2.0,4110.1216,2015-07-10,3808
19,"['Assortment = Basic', 'Promo = No', '870.00 < CompetitionDistance <= 1700.00', 'Month = Jul', '0.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceYear <= 2011.00', '3.00 < CompetitionOpenSinceMonth <= 9.00']",0.6111675126903553,2.0,4118.238,2015-07-09,3897
20,"['Promo = No', 'Assortment = Basic', 'DayOfWeek = Thursday', '870.00 < CompetitionDistance <= 1700.00', 'Month = Jul', 'CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceYear <= 2013.00', 'CompetitionOpenSinceMonth <= 9.00']",0.6555706521739131,2.0,4082.414,2015-07-08,3797
21,"['Month = Jul', 'Promo = No', 'Assortment = Basic', '870.00 < CompetitionDistance <= 1700.00', 'DayOfWeek = Wednesday', 'Promo2SinceYear <= 2011.00', '0.00 < CompetitionOpenSinceYear <= 2010.00', 'CompetitionOpenSinceMonth <= 9.00']",0.6353741496598639,2.0,3936.3271,2015-07-07,3650
22,"['Promo = No', 'CompetitionOpenSinceYear > 2007.00', 'Assortment = Basic', 'DayOfWeek = Tuesday', 'Promo2SinceYear <= 2011.00', 'Month = Jul', 'CompetitionOpenSinceMonth > 6.00', 'CompetitionDistance > 330.00']",0.46458527493010254,3.0,4538.323,2015-07-06,4359
23,"['Promo = No', 'Assortment = Basic', 'DayOfWeek = Sunday', '870.00 < CompetitionDistance <= 1700.00', 'Month = Jul', 'Promo2SinceYear <= 2013.00', 'CompetitionOpenSinceYear <= 2010.00']",0.7629427792915532,2.0,3947.5967,2015-07-04,4797
24,"['Promo2SinceWeek <= 0.00', '870.00 < CompetitionDistance <= 1700.00', 'Assortment = Basic', 'DayOfWeek = Saturday', '0.00 < CompetitionOpenSinceYear <= 2010.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo = Yes', 'Month = Jul', 'Promo2SinceYear <= 2013.00']",0.49383301707779886,3.0,4922.2363,2015-07-03,4665
25,"['870.00 < CompetitionDistance <= 1700.00', 'Assortment = Basic', 'DayOfWeek = Friday', 'PromoOpen > 24178.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceYear <= 0.00', '0.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceWeek <= 0.00', 'Promo = Yes', 'Month = Jul']",0.4138741916519694,3.0,4954.806,2015-07-02,5558
26,"['870.00 < CompetitionDistance <= 1700.00', 'DayOfWeek = Thursday', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'CompetitionOpenSinceYear <= 2010.00', 'Assortment = Basic', 'Promo2SinceYear <= 0.00', 'Promo = Yes', 'Promo2SinceWeek <= 35.00']",0.48259010384850337,3.0,5421.2837,2015-07-01,5223
27,"['870.00 < CompetitionDistance <= 1700.00', 'Promo = Yes', 'Assortment = Basic', 'DayOfWeek = Wednesday', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Month = Jun', 'CompetitionOpenSinceYear <= 2010.00']",0.5134497404436055,4.0,6119.5664,2015-06-30,5735
28,"['870.00 < CompetitionDistance <= 2960.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceWeek <= 14.00', 'Promo = Yes', 'Assortment = Basic', 'Promo2SinceYear <= 2013.00', 'PromoOpen > 10.50']",0.358974358974359,4.0,6393.5156,2015-06-29,5197
29,"['Promo = No', 'Assortment = Basic', 'DayOfWeek = Sunday', '870.00 < CompetitionDistance <= 1700.00', 'CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceYear <= 2011.00', '0.00 < CompetitionOpenSinceMonth <= 9.00']",0.7383512544802867,2.0,4129.319,2015-06-27,4019
30,"['Assortment = Basic', 'Promo = No', '870.00 < CompetitionDistance <= 1700.00', 'CompetitionOpenSinceYear <= 2010.00', 'CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceYear <= 2013.00']",0.5707251566696508,2.0,3850.0408,2015-06-26,3317
31,"['Assortment = Basic', 'Promo = No', '870.00 < CompetitionDistance <= 1700.00', 'Promo2SinceYear <= 2011.00', 'CompetitionOpenSinceYear <= 2010.00', 'CompetitionOpenSinceMonth <= 9.00', 'DayOfWeek = Friday']",0.6278395360077332,2.0,3672.6516,2015-06-25,3533
32,"['Assortment = Basic', 'Promo = No', '870.00 < CompetitionDistance <= 1700.00', 'DayOfWeek = Thursday', 'Promo2SinceYear <= 2011.00', 'CompetitionOpenSinceYear <= 2010.00', 'CompetitionOpenSinceMonth <= 9.00', 'Month = Jun']",0.6509635974304069,2.0,3743.9077,2015-06-24,3346
33,"['Promo = No', 'Assortment = Basic', '870.00 < CompetitionDistance <= 1700.00', 'DayOfWeek = Wednesday', 'Promo2SinceYear <= 2011.00', 'CompetitionOpenSinceYear <= 2010.00', 'CompetitionOpenSinceMonth <= 9.00']",0.6300527240773286,2.0,3711.3254,2015-06-23,3762
34,"['Assortment = Basic', 'Promo = No', '870.00 < CompetitionDistance <= 1700.00', 'Promo2SinceYear <= 2011.00', '0.00 < CompetitionOpenSinceYear <= 2010.00', '3.00 < CompetitionOpenSinceMonth <= 9.00']",0.5911352329262777,2.0,3945.6992,2015-06-22,3846
35,"['Promo = No', 'Assortment = Basic', 'DayOfWeek = Sunday', '6.00 < CompetitionOpenSinceMonth <= 9.00', '870.00 < CompetitionDistance <= 1700.00', 'Promo2SinceYear <= 2013.00', 'CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceWeek <= 35.00']",0.7335140018066847,2.0,4080.5178,2015-06-20,4097
36,"['Promo2SinceWeek <= 0.00', 'DayOfWeek = Saturday', 'Assortment = Basic', '0.00 < CompetitionOpenSinceYear <= 2010.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', '870.00 < CompetitionDistance <= 1700.00', 'Promo = Yes', 'Promo2SinceYear <= 2013.00']",0.46070785842831435,3.0,4632.6675,2015-06-19,4202
37,"['Assortment = Basic', '870.00 < CompetitionDistance <= 1700.00', 'Promo2SinceYear <= 2011.00', '0.00 < CompetitionOpenSinceYear <= 2010.00', '0.00 < CompetitionOpenSinceMonth <= 9.00']",0.3890696161353286,2.0,4526.3735,2015-06-18,4645
38,"['870.00 < CompetitionDistance <= 1700.00', 'Assortment = Basic', 'DayOfWeek = Thursday', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceYear <= 0.00', 'Promo2SinceWeek <= 0.00', '0.00 < CompetitionOpenSinceYear <= 2010.00', 'PromoOpen > 29.00', 'Month = Jun', 'Promo = Yes']",0.44302176696542894,3.0,4801.095,2015-06-17,4000
39,"['870.00 < CompetitionDistance <= 5290.00', 'Assortment = Basic', '0.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceYear <= 2011.00', 'Month = Jun', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceWeek <= 5.00']",0.3610223642172524,3.0,5309.8237,2015-06-16,4852
40,"['870.00 < CompetitionDistance <= 1700.00', 'Promo = Yes', '6.00 < CompetitionOpenSinceMonth <= 10.00', 'Assortment = Basic', 'Month = Jun', 'PromoOpen > 10.50']",0.4190800681431005,4.0,6110.3857,2015-06-15,5518
41,"['Promo = No', 'Assortment = Basic', 'DayOfWeek = Sunday', 'CompetitionOpenSinceYear <= 2010.00', '3.00 < CompetitionOpenSinceMonth <= 9.00', '870.00 < CompetitionDistance <= 1700.00', 'Promo2SinceYear <= 2013.00', 'Promo2SinceWeek <= 35.00']",0.726027397260274,2.0,4296.306,2015-06-13,4256
42,"['Assortment = Basic', 'Promo = No', '870.00 < CompetitionDistance <= 1700.00', 'Promo2SinceYear <= 2011.00', '0.00 < CompetitionOpenSinceYear <= 2010.00', '3.00 < CompetitionOpenSinceMonth <= 9.00']",0.589562140645732,2.0,4020.8474,2015-06-12,3695
43,"['Assortment = Basic', 'Promo = No', '870.00 < CompetitionDistance <= 1700.00', 'Promo2SinceYear <= 2011.00', 'CompetitionOpenSinceYear <= 2010.00', 'DayOfWeek = Friday', 'CompetitionOpenSinceMonth <= 9.00', 'Month = Jun']",0.6148713060057197,2.0,3947.205,2015-06-11,3627
44,"['Assortment = Basic', 'Promo = No', '870.00 < CompetitionDistance <= 1700.00', 'DayOfWeek = Thursday', 'Promo2SinceYear <= 2011.00', 'CompetitionOpenSinceYear <= 2010.00', 'CompetitionOpenSinceMonth <= 9.00', 'Month = Jun']",0.6203768318213538,2.0,3957.4072,2015-06-10,3591
45,"['Assortment = Basic', 'Promo = No', '870.00 < CompetitionDistance <= 1700.00', '0.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceYear <= 2011.00', '3.00 < CompetitionOpenSinceMonth <= 9.00', 'DayOfWeek = Wednesday']",0.642174131857071,2.0,4135.65,2015-06-09,4102
46,"['Assortment = Basic', 'Promo = No', '870.00 < CompetitionDistance <= 1700.00', '0.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceYear <= 2011.00', '0.00 < CompetitionOpenSinceMonth <= 9.00', 'Month = Jun']",0.5602775368603643,2.0,4487.0176,2015-06-08,4071
47,"['Assortment = Basic', 'Promo = No', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'DayOfWeek = Sunday', '0.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceYear <= 0.00', '870.00 < CompetitionDistance <= 1700.00', 'Promo2SinceWeek <= 35.00']",0.6205827650340979,2.0,4299.1187,2015-06-06,4183
48,"['870.00 < CompetitionDistance <= 1700.00', 'Assortment = Basic', 'DayOfWeek = Saturday', '0.00 < CompetitionOpenSinceYear <= 2010.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceWeek <= 0.00', 'Promo = Yes']",0.4827418570734079,3.0,5227.203,2015-06-05,5384
49,"['Promo2SinceWeek <= 5.00', 'DayOfWeek = Thursday', '870.00 < CompetitionDistance <= 1700.00', 'Assortment = Basic', '6.00 < CompetitionOpenSinceMonth <= 9.00', '0.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo = Yes']",0.4819061268362594,3.0,5376.2656,2015-06-03,5809
50,"['Promo2SinceYear <= 0.00', '870.00 < CompetitionDistance <= 1700.00', 'Assortment = Basic', '0.00 < CompetitionOpenSinceYear <= 2010.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo = Yes', 'Promo2SinceWeek <= 0.00', 'Month = Jun']",0.37068201948627105,3.0,5739.147,2015-06-02,5450
51,"['870.00 < CompetitionDistance <= 1700.00', 'Promo = Yes', 'Assortment = Basic', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Month = Jun', 'Promo2SinceYear <= 2013.00', 'CompetitionOpenSinceYear <= 2010.00']",0.4363833243096914,4.0,6426.9175,2015-06-01,5774
