,Anchors,Precisions,Classes,Predicted Sales,Dates,ESales
24,"['PromoOpen > 24178.00', 'Promo = Yes', 'Assortment = Extended', '330.00 < CompetitionDistance <= 870.00', '0.00 < CompetitionOpenSinceMonth <= 9.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceYear <= 0.00', 'Promo2SinceWeek <= 0.00']",0.9319148936170213,6.0,10353.291,2015-07-03,11543
25,"['Promo = Yes', 'PromoOpen > 24178.00', 'Assortment = Extended', '330.00 < CompetitionDistance <= 870.00', '0.00 < CompetitionOpenSinceMonth <= 9.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'Month = Jul', 'Promo2SinceYear <= 0.00', 'Promo2SinceWeek <= 0.00']",1.0,6.0,10580.564,2015-07-02,10323
26,"['Promo = Yes', '330.00 < CompetitionDistance <= 870.00', 'Assortment = Extended', 'PromoOpen > 24178.00', '0.00 < CompetitionOpenSinceMonth <= 9.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'Month = Jul', 'Promo2SinceYear <= 0.00', 'Promo2SinceWeek <= 5.00']",0.9953917050691244,6.0,11387.667,2015-07-01,11216
27,"['PromoOpen > 24178.00', 'Promo = Yes', 'Assortment = Extended', 'CompetitionDistance <= 870.00', 'CompetitionOpenSinceMonth > 0.00', 'Month = Jun', 'DayOfWeek = Wednesday']",0.8043478260869565,6.0,12711.647,2015-06-30,13106
28,"['Promo = Yes', 'DayOfWeek = Tuesday', 'PromoOpen > 24168.75', 'Month = Jun', 'Assortment = Extended']",0.8108747044917257,6.0,13174.163,2015-06-29,11692
29,"['PromoOpen > 24178.00', '330.00 < CompetitionDistance <= 870.00', 'Assortment = Extended', '6.00 < CompetitionOpenSinceMonth <= 9.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceYear <= 0.00', 'Promo2SinceWeek <= 0.00', 'Month = Jun', 'DayOfWeek = Sunday', 'Promo = No']",1.0,6.0,9339.933,2015-06-27,8989
30,"['PromoOpen > 24178.00', 'DayOfWeek = Saturday', 'Assortment = Extended', '6.00 < CompetitionOpenSinceMonth <= 9.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', '330.00 < CompetitionDistance <= 870.00', 'Month = Jun', 'Promo = No']",0.6429683445770628,5.0,8031.6445,2015-06-26,7684
31,"['PromoOpen > 24178.00', 'Assortment = Extended', 'DayOfWeek = Friday', '330.00 < CompetitionDistance <= 870.00', 'Promo2SinceYear <= 0.00', '0.00 < CompetitionOpenSinceMonth <= 9.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceWeek <= 0.00', 'Promo = No', 'Month = Jun']",0.8,5.0,7629.1167,2015-06-25,7111
32,"['Assortment = Extended', 'PromoOpen > 24178.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', '330.00 < CompetitionDistance <= 870.00', '3.00 < CompetitionOpenSinceMonth <= 9.00', 'DayOfWeek = Thursday', 'Promo = No', 'Promo2SinceYear <= 0.00', 'Promo2SinceWeek <= 35.00']",0.8341836734693877,5.0,7833.986,2015-06-24,8048
33,"['PromoOpen > 24178.00', 'Assortment = Extended', '2007.00 < CompetitionOpenSinceYear <= 2010.00', '330.00 < CompetitionDistance <= 870.00', 'CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceYear <= 0.00', 'Promo2SinceWeek <= 0.00', 'DayOfWeek = Wednesday', 'Month = Jun', 'Promo = No']",0.935064935064935,5.0,7802.6367,2015-06-23,7635
34,"['330.00 < CompetitionDistance <= 870.00', 'PromoOpen > 24178.00', 'Assortment = Extended', '2007.00 < CompetitionOpenSinceYear <= 2010.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceWeek <= 0.00', 'Promo2SinceYear <= 0.00', 'Promo = No', 'Month = Jun']",0.7164816396242528,5.0,8434.023,2015-06-22,9118
35,"['PromoOpen > 24178.00', '330.00 < CompetitionDistance <= 870.00', 'Assortment = Extended', 'Promo2SinceYear <= 0.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'DayOfWeek = Sunday', 'Promo2SinceWeek <= 0.00']",0.981029810298103,6.0,9157.044,2015-06-20,9374
36,"['Promo = Yes', 'PromoOpen > 24178.00', 'Assortment = Extended', '330.00 < CompetitionDistance <= 870.00', '0.00 < CompetitionOpenSinceMonth <= 9.00', 'Month = Jun', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceYear <= 2009.00']",0.7675507020280812,6.0,9760.73,2015-06-19,9686
37,"['PromoOpen > 24178.00', 'Promo = Yes', 'Assortment = Extended', '330.00 < CompetitionDistance <= 870.00', 'Month = Jun', '0.00 < CompetitionOpenSinceMonth <= 9.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceYear <= 2009.00', 'Promo2SinceWeek <= 0.00']",0.8077709611451943,6.0,9491.71,2015-06-18,8880
38,"['PromoOpen > 24178.00', 'Promo = Yes', 'Assortment = Extended', '330.00 < CompetitionDistance <= 870.00', '0.00 < CompetitionOpenSinceMonth <= 9.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'Month = Jun', 'Promo2SinceYear <= 2011.00']",0.9779179810725552,6.0,9922.714,2015-06-17,9685
39,"['Promo = Yes', 'CompetitionDistance <= 870.00', 'Assortment = Extended', 'PromoOpen > 24178.00', 'CompetitionOpenSinceMonth > 0.00', 'Month = Jun', 'DayOfWeek = Wednesday']",0.8284839203675345,6.0,10805.105,2015-06-16,10671
40,"['Promo = Yes', 'DayOfWeek = Tuesday', 'CompetitionDistance <= 870.00', 'Assortment = Extended', 'PromoOpen > 24168.75']",0.8121212121212121,6.0,13001.694,2015-06-15,12398
41,"['PromoOpen > 24178.00', 'Assortment = Extended', '330.00 < CompetitionDistance <= 870.00', 'Promo2SinceYear <= 0.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceWeek <= 0.00', 'DayOfWeek = Sunday']",0.9875565610859729,6.0,9586.832,2015-06-13,9779
42,"['PromoOpen > 24178.00', 'Assortment = Extended', 'DayOfWeek = Saturday', '330.00 < CompetitionDistance <= 870.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceYear <= 0.00', 'Promo2SinceWeek <= 0.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Month = Jun', 'Promo = No']",0.8175853018372703,5.0,8259.24,2015-06-12,7889
43,"['Assortment = Extended', 'PromoOpen > 24178.00', 'DayOfWeek = Friday', '6.00 < CompetitionOpenSinceMonth <= 9.00', '330.00 < CompetitionDistance <= 870.00', 'Promo2SinceWeek <= 0.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo = No', 'Promo2SinceYear <= 2009.00', 'Month = Jun']",0.7266112266112266,5.0,8092.6846,2015-06-11,7407
44,"['PromoOpen > 24178.00', 'Assortment = Extended', '2007.00 < CompetitionOpenSinceYear <= 2010.00', '3.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceWeek <= 35.00', '330.00 < CompetitionDistance <= 870.00', 'DayOfWeek = Thursday', 'Promo = No']",0.7868080094228505,5.0,8130.3394,2015-06-10,7445
45,"['Assortment = Extended', 'PromoOpen > 24178.00', '330.00 < CompetitionDistance <= 870.00', '0.00 < CompetitionOpenSinceMonth <= 9.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceYear <= 0.00', 'Promo2SinceWeek <= 0.00', 'DayOfWeek = Wednesday', 'Promo = No']",0.8441176470588235,5.0,8530.971,2015-06-09,8002
46,"['DayOfWeek = Tuesday', '330.00 < CompetitionDistance <= 870.00', 'Assortment = Extended', 'Promo2SinceYear <= 0.00', '2005.00 < CompetitionOpenSinceYear <= 2010.00', 'PromoOpen > 24178.00', 'CompetitionOpenSinceMonth > 6.00', 'Month = Jun', 'Promo2SinceWeek <= 0.00']",0.7248677248677249,6.0,9438.421,2015-06-08,9640
47,"['330.00 < CompetitionDistance <= 870.00', 'PromoOpen > 24178.00', 'Assortment = Extended', '2007.00 < CompetitionOpenSinceYear <= 2010.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'DayOfWeek = Sunday', 'Promo2SinceWeek <= 0.00', 'Promo2SinceYear <= 0.00']",0.9900249376558603,6.0,9537.947,2015-06-06,8218
48,"['PromoOpen > 24178.00', 'Promo = Yes', 'Assortment = Extended', '330.00 < CompetitionDistance <= 870.00', '0.00 < CompetitionOpenSinceMonth <= 9.00', 'Month = Jun', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceYear <= 0.00']",0.8150537634408602,6.0,10546.431,2015-06-05,10416
49,"['PromoOpen > 24178.00', 'Promo = Yes', 'Assortment = Extended', '330.00 < CompetitionDistance <= 870.00', 'Month = Jun', '0.00 < CompetitionOpenSinceMonth <= 9.00', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceYear <= 0.00', 'Promo2SinceWeek <= 14.00']",0.842741935483871,6.0,10011.312,2015-06-04,10200
50,"['Promo = Yes', 'PromoOpen > 24178.00', 'Assortment = Extended', '330.00 < CompetitionDistance <= 870.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Month = Jun', '2007.00 < CompetitionOpenSinceYear <= 2010.00', 'Promo2SinceYear <= 0.00', 'Promo2SinceWeek <= 0.00']",0.8181818181818182,6.0,10811.229,2015-06-03,10621
51,"['Promo = Yes', 'PromoOpen > 24168.75', 'Assortment = Extended', 'CompetitionDistance <= 870.00', 'CompetitionOpenSinceMonth > 0.00', 'DayOfWeek = Wednesday', 'Month = Jun']",0.7853922452660054,6.0,11512.74,2015-06-02,11222
52,"['Promo = Yes', 'DayOfWeek = Tuesday', 'PromoOpen > 24168.75', 'Month = Jun', 'Assortment = Extended', 'CompetitionOpenSinceYear <= 2013.00']",0.8229665071770335,6.0,13471.716,2015-06-01,13727
