,Anchors,Precisions,Classes,Predicted Sales,Sales,Dates
10,"['Promo <= 0.00', '870.00 < CompetitionDistance <= 2960.00', 'DayOfWeek <= 1.00', '2.00 < Month <= 8.00', 'Assortment <= 1.00', '70.00 < CompetitionOpen <= 107.00', 'Promo2SinceWeek <= 5.00', 'Promo2SinceYear <= 2011.00', 'PromoOpen > 24178.00', '6.00 < CompetitionOpenSinceMonth <= 9.00']",0.7664618086040387,3.0,5014.5337,4395.0,2015-07-20
11,"['Promo <= 0.00', 'Assortment <= 1.00', 'DayOfWeek > 5.00', '70.00 < CompetitionOpen <= 24158.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceYear <= 2013.00', '870.00 < CompetitionDistance <= 2960.00']",0.8237762237762237,2.0,3764.7585,4406.0,2015-07-18
12,"['Assortment <= 1.00', '4.00 < DayOfWeek <= 5.00', 'Promo2SinceWeek <= 0.00', '70.00 < CompetitionOpen <= 107.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Month <= 8.00', '870.00 < CompetitionDistance <= 1700.00', 'Promo <= 1.00']",0.5509391007398976,3.0,5752.75,4852.0,2015-07-17
13,"['DayOfWeek > 2.00', 'Promo > 0.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Assortment <= 1.00', '870.00 < CompetitionDistance <= 1700.00', '70.00 < CompetitionOpen <= 24171.00', 'PromoOpen > 24178.00', '3.00 < Month <= 8.00']",0.7129277566539924,4.0,5780.169,4427.0,2015-07-16
14,"['870.00 < CompetitionDistance <= 1700.00', '2.00 < DayOfWeek <= 3.00', 'Promo > 0.00', 'Assortment <= 1.00', '5.00 < Month <= 8.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'CompetitionOpen > 70.00', 'PromoOpen > 24178.00']",0.7562604340567612,4.0,5911.4097,4767.0,2015-07-15
15,"['870.00 < CompetitionDistance <= 1700.00', '1.00 < DayOfWeek <= 2.00', 'Promo > 0.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Assortment <= 1.00', '3.00 < Month <= 8.00', 'CompetitionOpen > 70.00', 'Promo2SinceYear <= 0.00', 'PromoOpen > 10.50']",0.8145563310069791,4.0,6272.317,5042.0,2015-07-14
16,"['PromoOpen > 24178.00', '0.00 < Promo <= 1.00', '870.00 < CompetitionDistance <= 2960.00', 'CompetitionOpen > 70.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', '6.00 < Month <= 8.00', 'DayOfWeek <= 1.00', 'Assortment <= 1.00', 'Promo2SinceYear <= 0.00', 'Promo2SinceWeek <= 0.00']",0.8010810810810811,5.0,7405.6274,5054.0,2015-07-13
17,"['Promo <= 0.00', 'Assortment <= 1.00', 'DayOfWeek > 5.00', 'CompetitionOpen > 70.00', 'CompetitionOpenSinceMonth > 0.00', '870.00 < CompetitionDistance <= 1700.00', 'Promo2SinceWeek <= 5.00']",0.8211111111111111,2.0,3826.768,3530.0,2015-07-11
18,"['Assortment <= 1.00', 'Promo <= 0.00', '6.00 < Month <= 8.00', '4.00 < DayOfWeek <= 5.00', '870.00 < CompetitionDistance <= 1700.00', 'PromoOpen > 24168.75', '70.00 < CompetitionOpen <= 107.00', 'Promo2SinceYear <= 2009.00', 'Promo2SinceWeek <= 0.00', '3.00 < CompetitionOpenSinceMonth <= 9.00']",0.6539833531510107,3.0,4782.0312,3808.0,2015-07-10
19,"['Promo <= 0.00', '870.00 < CompetitionDistance <= 2960.00', '3.00 < DayOfWeek <= 4.00', 'PromoOpen > 24178.00', 'Assortment <= 1.00', '5.00 < Month <= 8.00', 'Promo2SinceYear <= 0.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'CompetitionOpen > 70.00']",0.691814946619217,3.0,4736.277,3897.0,2015-07-09
20,"['Promo <= 0.00', '70.00 < CompetitionOpen <= 107.00', 'Assortment <= 1.00', 'PromoOpen > 48.00', '2.00 < DayOfWeek <= 3.00', '870.00 < CompetitionDistance <= 10690.00', '3.00 < Month <= 8.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceYear <= 2009.00']",0.6285541439806412,3.0,4699.9624,3797.0,2015-07-08
21,"['870.00 < CompetitionDistance <= 2960.00', 'Promo <= 0.00', '1.00 < DayOfWeek <= 2.00', 'PromoOpen > 24178.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Assortment <= 1.00', 'CompetitionOpen > 70.00', '3.00 < Month <= 8.00', 'Promo2SinceYear <= 2009.00']",0.6156901688182721,3.0,4580.5884,3650.0,2015-07-07
22,"['Promo <= 0.00', '870.00 < CompetitionDistance <= 2960.00', 'DayOfWeek <= 1.00', '2.00 < Month <= 8.00', 'PromoOpen > 24178.00', '70.00 < CompetitionOpen <= 24158.00', 'Assortment <= 1.00', 'Promo2SinceYear <= 2011.00', '6.00 < CompetitionOpenSinceMonth <= 9.00']",0.7515463917525773,3.0,5300.806,4359.0,2015-07-06
23,"['Promo <= 0.00', 'Assortment <= 1.00', 'DayOfWeek > 5.00', '70.00 < CompetitionOpen <= 107.00', '6.00 < CompetitionOpenSinceMonth <= 10.00', '870.00 < CompetitionDistance <= 1700.00', 'Month <= 10.00']",0.830225711481845,2.0,3712.9968,4797.0,2015-07-04
24,"['870.00 < CompetitionDistance <= 1700.00', '4.00 < DayOfWeek <= 5.00', 'Promo > 0.00', 'Assortment <= 1.00', '70.00 < CompetitionOpen <= 107.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Month <= 8.00', 'Promo2SinceYear <= 2009.00', 'PromoOpen > 10.50']",0.6944444444444444,4.0,5891.848,4665.0,2015-07-03
25,"['870.00 < CompetitionDistance <= 1700.00', '3.00 < DayOfWeek <= 5.00', 'Promo > 0.00', 'Assortment <= 1.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', '70.00 < CompetitionOpen <= 24158.00', 'PromoOpen > 24178.00', '3.00 < Month <= 8.00']",0.7265500794912559,4.0,5928.4683,5558.0,2015-07-02
26,"['870.00 < CompetitionDistance <= 1700.00', '2.00 < DayOfWeek <= 3.00', '0.00 < Promo <= 1.00', 'Assortment <= 1.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', '5.00 < Month <= 8.00', 'CompetitionOpen > 70.00', 'PromoOpen > 24178.00', 'Promo2SinceYear <= 2013.00']",0.7495606326889279,4.0,6269.5713,5223.0,2015-07-01
27,"['PromoOpen > 24178.00', '0.00 < Promo <= 1.00', '870.00 < CompetitionDistance <= 10690.00', '1.00 < DayOfWeek <= 2.00', '3.00 < Month <= 6.00', '9.00 < CompetitionOpen <= 107.00', 'Assortment <= 3.00']",0.6289791437980241,5.0,7181.489,5735.0,2015-06-30
28,"['PromoOpen > 24178.00', '0.00 < Promo <= 1.00', '870.00 < CompetitionDistance <= 2960.00', '2.00 < Month <= 6.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'DayOfWeek <= 1.00', 'CompetitionOpen > 70.00', 'Assortment <= 1.00', 'Promo2SinceYear <= 0.00', 'Promo2SinceWeek <= 0.00']",0.9085051546391752,5.0,8102.563,5197.0,2015-06-29
29,"['Promo <= 0.00', 'Assortment <= 1.00', 'DayOfWeek > 5.00', 'CompetitionOpenSinceMonth > 3.00', 'CompetitionOpen > 70.00', '870.00 < CompetitionDistance <= 1700.00', 'Promo2SinceYear <= 2009.00']",0.7997799779977998,2.0,3942.5125,4019.0,2015-06-27
30,"['Assortment <= 1.00', 'Promo <= 0.00', '5.00 < Month <= 6.00', 'PromoOpen > 24160.25', '70.00 < CompetitionOpen <= 107.00', '6.00 < CompetitionOpenSinceMonth <= 10.00', 'DayOfWeek <= 5.00', '870.00 < CompetitionDistance <= 10690.00']",0.6553314121037463,3.0,4604.533,3317.0,2015-06-26
31,"['Assortment <= 1.00', 'Promo <= 0.00', '870.00 < CompetitionDistance <= 1700.00', '70.00 < CompetitionOpen <= 24171.00', 'DayOfWeek > 3.00', 'Promo2SinceYear <= 2013.00', '5.00 < Month <= 10.00', 'CompetitionOpenSinceMonth <= 9.00']",0.7507961783439491,2.0,4415.0825,3533.0,2015-06-25
32,"['Assortment <= 1.00', 'Promo <= 0.00', '870.00 < CompetitionDistance <= 1700.00', 'CompetitionOpen > 70.00', 'DayOfWeek > 2.00', '5.00 < Month <= 8.00', 'Promo2SinceYear <= 2013.00', '6.00 < CompetitionOpenSinceMonth <= 9.00']",0.7561448900388098,2.0,4437.392,3346.0,2015-06-24
33,"['Assortment <= 1.00', 'Promo <= 0.00', '870.00 < CompetitionDistance <= 1700.00', '70.00 < CompetitionOpen <= 24158.00', 'DayOfWeek > 1.00', '5.00 < Month <= 8.00', 'Promo2SinceYear <= 2013.00', '6.00 < CompetitionOpenSinceMonth <= 9.00']",0.7686832740213523,2.0,4456.4634,3762.0,2015-06-23
34,"['Promo <= 0.00', '870.00 < CompetitionDistance <= 2960.00', 'DayOfWeek <= 1.00', '2.00 < Month <= 6.00', 'PromoOpen > 24178.00', 'Assortment <= 1.00', '70.00 < CompetitionOpen <= 24171.00', 'Promo2SinceYear <= 2013.00', '6.00 < CompetitionOpenSinceMonth <= 9.00']",0.7556756756756757,3.0,4696.704,3846.0,2015-06-22
35,"['Assortment <= 1.00', 'DayOfWeek > 5.00', 'Promo <= 1.00', 'CompetitionOpenSinceMonth > 6.00', 'CompetitionOpen > 70.00', '870.00 < CompetitionDistance <= 2960.00', 'Month <= 10.00', 'Promo2SinceYear <= 2011.00']",0.7628968253968254,2.0,3939.1707,4097.0,2015-06-20
36,"['870.00 < CompetitionDistance <= 1700.00', 'DayOfWeek > 4.00', 'Promo > 0.00', 'Assortment <= 1.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', '3.00 < Month <= 6.00', 'CompetitionOpen > 70.00', 'Promo2SinceYear <= 2009.00']",0.7656090071647902,4.0,5844.4453,4202.0,2015-06-19
37,"['870.00 < CompetitionDistance <= 1700.00', 'DayOfWeek > 2.00', 'Promo > 0.00', 'Assortment <= 1.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', '5.00 < Month <= 6.00', 'CompetitionOpen > 70.00', 'PromoOpen > 24178.00']",0.7573435504469987,4.0,5780.764,4645.0,2015-06-18
38,"['870.00 < CompetitionDistance <= 2960.00', '2.00 < DayOfWeek <= 3.00', 'Promo > 0.00', 'Assortment <= 1.00', 'CompetitionOpen > 70.00', '5.00 < Month <= 8.00', 'PromoOpen > 24178.00', 'Promo2SinceYear <= 2011.00', '6.00 < CompetitionOpenSinceMonth <= 9.00']",0.8474114441416893,4.0,6006.928,4000.0,2015-06-17
39,"['870.00 < CompetitionDistance <= 1700.00', 'Promo > 0.00', 'Assortment <= 1.00', '1.00 < DayOfWeek <= 2.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'CompetitionOpen > 70.00', 'Month <= 8.00', 'Promo2SinceYear <= 0.00']",0.772438803263826,4.0,6599.388,4852.0,2015-06-16
40,"['PromoOpen > 24178.00', '0.00 < Promo <= 1.00', '870.00 < CompetitionDistance <= 1700.00', '70.00 < CompetitionOpen <= 107.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', '3.00 < Month <= 6.00', 'DayOfWeek <= 1.00', 'Promo2SinceYear <= 0.00', 'Assortment <= 1.00']",0.7755474452554745,5.0,7881.1714,5518.0,2015-06-15
41,"['Promo <= 0.00', 'DayOfWeek > 5.00', 'CompetitionOpenSinceMonth > 3.00', 'Assortment <= 1.00', '70.00 < CompetitionOpen <= 24171.00', '870.00 < CompetitionDistance <= 1700.00']",0.7882483370288248,2.0,4008.6765,4256.0,2015-06-13
42,"['Assortment <= 1.00', 'Promo <= 0.00', '70.00 < CompetitionOpen <= 107.00', '4.00 < DayOfWeek <= 5.00', 'PromoOpen > 24178.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', '870.00 < CompetitionDistance <= 1700.00', 'Promo2SinceYear <= 0.00', '5.00 < Month <= 6.00']",0.7359477124183007,3.0,4738.9927,3695.0,2015-06-12
43,"['Promo <= 0.00', 'Promo2SinceYear <= 2009.00', '870.00 < CompetitionDistance <= 10690.00', '3.00 < DayOfWeek <= 4.00', '3.00 < Month <= 6.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Assortment <= 1.00', '70.00 < CompetitionOpen <= 107.00', 'PromoOpen > 48.00']",0.69375,3.0,4643.9805,3627.0,2015-06-11
44,"['870.00 < CompetitionDistance <= 2960.00', 'Promo <= 0.00', '2.00 < DayOfWeek <= 3.00', 'Promo2SinceWeek <= 0.00', '70.00 < CompetitionOpen <= 24158.00', 'PromoOpen > 24178.00', 'Assortment <= 1.00', '3.00 < Month <= 6.00', 'Promo2SinceYear <= 0.00', '6.00 < CompetitionOpenSinceMonth <= 9.00']",0.6145151695419393,3.0,4629.871,3591.0,2015-06-10
45,"['Assortment <= 1.00', 'Promo <= 0.00', 'DayOfWeek <= 2.00', '70.00 < CompetitionOpen <= 107.00', 'PromoOpen > 48.00', '870.00 < CompetitionDistance <= 10690.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', '3.00 < Month <= 6.00', 'Promo2SinceWeek <= 35.00']",0.719002201027146,3.0,4778.94,4102.0,2015-06-09
46,"['870.00 < CompetitionDistance <= 10690.00', 'Promo <= 0.00', 'Assortment <= 1.00', '70.00 < CompetitionOpen <= 107.00', 'DayOfWeek <= 1.00', '2.00 < Month <= 6.00', 'PromoOpen > 48.00', 'Promo2SinceYear <= 2009.00', '6.00 < CompetitionOpenSinceMonth <= 9.00']",0.7515923566878981,3.0,5221.547,4071.0,2015-06-08
47,"['Promo <= 0.00', 'Assortment <= 1.00', 'DayOfWeek > 5.00', '870.00 < CompetitionDistance <= 1700.00', 'CompetitionOpen > 70.00', '3.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceYear <= 2013.00']",0.8395390070921985,2.0,4041.9944,4183.0,2015-06-06
48,"['870.00 < CompetitionDistance <= 1700.00', 'DayOfWeek > 4.00', 'Promo > 0.00', 'Assortment <= 1.00', '3.00 < Month <= 6.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'CompetitionOpen > 70.00', 'PromoOpen > 24178.00']",0.7701149425287356,4.0,6306.2046,5384.0,2015-06-05
49,"['870.00 < CompetitionDistance <= 2960.00', '2.00 < DayOfWeek <= 4.00', 'Promo > 0.00', 'Assortment <= 1.00', '5.00 < Month <= 6.00', 'CompetitionOpen > 70.00', 'Promo2SinceYear <= 0.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'PromoOpen > 24178.00']",0.8033033033033034,4.0,6384.777,5809.0,2015-06-03
50,"['870.00 < CompetitionDistance <= 1700.00', 'Promo > 0.00', 'Assortment <= 1.00', '1.00 < DayOfWeek <= 2.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'CompetitionOpen > 70.00', 'PromoOpen > 24178.00', 'Promo2SinceWeek <= 0.00']",0.7679362267493357,4.0,6879.291,5450.0,2015-06-02
51,"['PromoOpen > 24178.00', '0.00 < Promo <= 1.00', '870.00 < CompetitionDistance <= 2960.00', '70.00 < CompetitionOpen <= 107.00', '5.00 < Month <= 6.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceYear <= 0.00', 'DayOfWeek <= 1.00', 'Promo2SinceWeek <= 0.00', 'Assortment <= 1.00']",0.8333333333333334,5.0,8107.047,5774.0,2015-06-01
52,"['Promo <= 0.00', 'Assortment <= 1.00', 'DayOfWeek > 5.00', 'CompetitionOpen > 70.00', 'CompetitionOpenSinceMonth > 3.00', '870.00 < CompetitionDistance <= 1700.00', 'Promo2SinceWeek <= 5.00']",0.7993168232280102,2.0,4404.1836,5592.0,2015-05-30
53,"['Assortment <= 1.00', 'Promo <= 0.00', '70.00 < CompetitionOpen <= 107.00', '870.00 < CompetitionDistance <= 2960.00', 'PromoOpen > 24178.00', '3.00 < Month <= 5.00', 'DayOfWeek <= 5.00', 'Promo2SinceWeek <= 0.00', 'Promo2SinceYear <= 0.00', '6.00 < CompetitionOpenSinceMonth <= 9.00']",0.6814641744548287,3.0,5729.3506,4656.0,2015-05-29
54,"['870.00 < CompetitionDistance <= 10690.00', 'Promo <= 0.00', '3.00 < DayOfWeek <= 4.00', '3.00 < Month <= 5.00', 'PromoOpen > 24178.00', 'Assortment <= 1.00', '70.00 < CompetitionOpen <= 107.00', 'Promo2SinceYear <= 2009.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceWeek <= 0.00']",0.6773957571324067,3.0,4993.5654,4111.0,2015-05-28
55,"['Assortment <= 1.00', 'Promo <= 0.00', '2.00 < DayOfWeek <= 4.00', 'PromoOpen > 24178.00', '870.00 < CompetitionDistance <= 10690.00', '70.00 < CompetitionOpen <= 107.00', '3.00 < Month <= 5.00', 'Promo2SinceWeek <= 5.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceYear <= 0.00']",0.6627252252252253,3.0,5142.138,4083.0,2015-05-27
56,"['Assortment <= 1.00', 'Promo <= 0.00', 'DayOfWeek <= 2.00', '3.00 < Month <= 5.00', 'PromoOpen > 24178.00', '70.00 < CompetitionOpen <= 24158.00', '870.00 < CompetitionDistance <= 1700.00', '0.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceYear <= 2013.00']",0.7416741674167416,3.0,5368.0312,4211.0,2015-05-26
57,"['Promo <= 0.00', 'Assortment <= 1.00', 'DayOfWeek > 5.00', 'CompetitionOpen > 70.00', 'CompetitionOpenSinceMonth > 0.00', '870.00 < CompetitionDistance <= 1700.00', 'Promo2SinceYear <= 2013.00']",0.8002219755826859,2.0,4097.454,4276.0,2015-05-23
58,"['870.00 < CompetitionDistance <= 1700.00', 'Promo > 0.00', 'DayOfWeek > 4.00', 'Assortment <= 1.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', '3.00 < Month <= 5.00', 'CompetitionOpen > 70.00', 'PromoOpen > 24178.00']",0.7803571428571429,4.0,6006.4985,4459.0,2015-05-22
59,"['870.00 < CompetitionDistance <= 1700.00', '3.00 < DayOfWeek <= 5.00', '0.00 < Promo <= 1.00', 'Assortment <= 1.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', '3.00 < Month <= 5.00', '70.00 < CompetitionOpen <= 24158.00', 'Promo2SinceYear <= 0.00', 'PromoOpen > 24178.00', 'Promo2SinceWeek <= 0.00']",0.7300150829562594,4.0,5934.2275,3755.0,2015-05-21
60,"['870.00 < CompetitionDistance <= 1700.00', 'Promo > 0.00', '2.00 < DayOfWeek <= 3.00', 'Assortment <= 1.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'CompetitionOpen > 70.00', 'PromoOpen > 24178.00', 'Promo2SinceYear <= 2009.00', '3.00 < Month <= 6.00']",0.7846153846153846,4.0,5995.337,4735.0,2015-05-20
61,"['870.00 < CompetitionDistance <= 1700.00', 'Promo > 0.00', '1.00 < DayOfWeek <= 2.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Assortment <= 1.00', 'Month <= 6.00', 'CompetitionOpen > 70.00', 'Promo2SinceYear <= 0.00']",0.7789735099337748,4.0,6377.0107,5235.0,2015-05-19
62,"['0.00 < Promo <= 1.00', 'PromoOpen > 24178.00', '870.00 < CompetitionDistance <= 2960.00', 'DayOfWeek <= 1.00', '3.00 < Month <= 5.00', 'CompetitionOpen > 70.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Assortment <= 1.00', 'Promo2SinceYear <= 0.00', 'Promo2SinceWeek <= 0.00']",0.8725212464589235,5.0,7669.7993,5280.0,2015-05-18
63,"['Promo <= 0.00', 'Assortment <= 1.00', 'DayOfWeek > 5.00', 'CompetitionOpen > 70.00', 'CompetitionOpenSinceMonth > 6.00', 'Promo2SinceYear <= 2013.00', '330.00 < CompetitionDistance <= 1700.00']",0.7661388550548112,2.0,4101.3564,4431.0,2015-05-16
64,"['Assortment <= 1.00', 'Promo <= 0.00', 'DayOfWeek <= 5.00', '870.00 < CompetitionDistance <= 1700.00', 'PromoOpen > 24178.00', '3.00 < Month <= 5.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', '70.00 < CompetitionOpen <= 107.00', 'Promo2SinceYear <= 2009.00']",0.7008491182233834,3.0,5696.916,4178.0,2015-05-15
65,"['Promo2SinceWeek <= 0.00', 'Promo <= 0.00', '2.00 < DayOfWeek <= 4.00', '870.00 < CompetitionDistance <= 10690.00', 'PromoOpen > 24178.00', '3.00 < Month <= 5.00', '70.00 < CompetitionOpen <= 107.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Assortment <= 1.00', 'Promo2SinceYear <= 0.00']",0.6611074049366245,3.0,5368.4663,3998.0,2015-05-13
66,"['Promo <= 0.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', '1.00 < DayOfWeek <= 2.00', 'Assortment <= 1.00', 'PromoOpen > 24160.25', '870.00 < CompetitionDistance <= 1700.00', '3.00 < Month <= 5.00', '70.00 < CompetitionOpen <= 107.00', 'Promo2SinceYear <= 0.00']",0.7400972897845726,3.0,4956.4463,3547.0,2015-05-12
67,"['Promo <= 0.00', '870.00 < CompetitionDistance <= 1700.00', 'DayOfWeek <= 1.00', '2.00 < Month <= 5.00', 'PromoOpen > 24178.00', '70.00 < CompetitionOpen <= 107.00', 'Assortment <= 1.00', '6.00 < CompetitionOpenSinceMonth <= 9.00']",0.7926208651399491,3.0,5038.608,3551.0,2015-05-11
68,"['Promo <= 0.00', 'Assortment <= 1.00', 'DayOfWeek > 5.00', 'CompetitionOpenSinceMonth > 3.00', 'CompetitionOpen > 70.00', '870.00 < CompetitionDistance <= 2960.00', 'Promo2SinceYear <= 2013.00', 'Month <= 10.00']",0.7805383022774327,2.0,4465.6465,4945.0,2015-05-09
69,"['870.00 < CompetitionDistance <= 1700.00', 'DayOfWeek > 4.00', 'Promo > 0.00', 'Assortment <= 1.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', '3.00 < Month <= 5.00', 'CompetitionOpen > 70.00', 'Promo2SinceYear <= 2009.00', 'PromoOpen > 24178.00']",0.7780487804878049,4.0,6207.603,4683.0,2015-05-08
70,"['870.00 < CompetitionDistance <= 2960.00', '2.00 < DayOfWeek <= 4.00', '0.00 < Promo <= 1.00', 'Promo2SinceYear <= 2011.00', 'Assortment <= 1.00', '70.00 < CompetitionOpen <= 24158.00', '3.00 < Month <= 8.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'PromoOpen > 29.00']",0.7123287671232876,4.0,6145.2505,4529.0,2015-05-07
71,"['870.00 < CompetitionDistance <= 2960.00', '2.00 < DayOfWeek <= 3.00', 'Promo > 0.00', 'Assortment <= 1.00', '70.00 < CompetitionOpen <= 24171.00', '2.00 < Month <= 8.00', 'Promo2SinceYear <= 2009.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'PromoOpen > 24178.00', 'Promo2SinceWeek <= 35.00']",0.7394757744241461,4.0,6169.024,4960.0,2015-05-06
72,"['CompetitionOpen > 70.00', '870.00 < CompetitionDistance <= 1700.00', 'Promo > 0.00', '1.00 < DayOfWeek <= 2.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Assortment <= 1.00', 'Month <= 8.00', 'Promo2SinceYear <= 0.00']",0.7782178217821782,4.0,6391.6196,4564.0,2015-05-05
73,"['PromoOpen > 24178.00', '0.00 < Promo <= 1.00', '3.00 < Month <= 5.00', '870.00 < CompetitionDistance <= 1700.00', '70.00 < CompetitionOpen <= 107.00', '6.00 < CompetitionOpenSinceMonth <= 9.00', 'Promo2SinceWeek <= 0.00', 'DayOfWeek <= 1.00', 'Assortment <= 1.00']",0.7786885245901639,5.0,7737.206,5591.0,2015-05-04
74,"['Promo <= 0.00', 'DayOfWeek > 5.00', '3.00 < CompetitionOpenSinceMonth <= 9.00', 'Assortment <= 1.00', '70.00 < CompetitionOpen <= 24158.00', '330.00 < CompetitionDistance <= 2960.00', 'Promo2SinceYear <= 2013.00', 'Month <= 10.00']",0.7891520244461421,2.0,4465.6465,5850.0,2015-05-02
